date,dept_id,cat_id,store_id,state_id,event_name_1,snap_CA,snap_TX,snap_WI,sales
2013-01-01,FOODS_1,FOODS,CA_1,CA,NewYear,1.0,1.0,0.0,386.07
2013-01-01,FOODS_1,FOODS,CA_2,CA,NewYear,1.0,1.0,0.0,851.83
2013-01-01,FOODS_1,FOODS,CA_3,CA,NewYear,1.0,1.0,0.0,581.1
2013-01-01,FOODS_1,FOODS,CA_4,CA,NewYear,1.0,1.0,0.0,281.2099999999999
2013-01-01,FOODS_1,FOODS,TX_1,TX,NewYear,1.0,1.0,0.0,392.58000000000015
2013-01-01,FOODS_1,FOODS,TX_2,TX,NewYear,1.0,1.0,0.0,638.5600000000002
2013-01-01,FOODS_1,FOODS,TX_3,TX,NewYear,1.0,1.0,0.0,329.7800000000001
2013-01-01,FOODS_1,FOODS,WI_1,WI,NewYear,1.0,1.0,0.0,277.02
2013-01-01,FOODS_1,FOODS,WI_2,WI,NewYear,1.0,1.0,0.0,343.70000000000016
2013-01-01,FOODS_1,FOODS,WI_3,WI,NewYear,1.0,1.0,0.0,290.94
2013-01-01,FOODS_2,FOODS,CA_1,CA,NewYear,1.0,1.0,0.0,957.2200000000007
2013-01-01,FOODS_2,FOODS,CA_2,CA,NewYear,1.0,1.0,0.0,223.56
2013-01-01,FOODS_2,FOODS,CA_3,CA,NewYear,1.0,1.0,0.0,1356.4900000000011
2013-01-01,FOODS_2,FOODS,CA_4,CA,NewYear,1.0,1.0,0.0,436.69000000000017
2013-01-01,FOODS_2,FOODS,TX_1,TX,NewYear,1.0,1.0,0.0,735.6600000000003
2013-01-01,FOODS_2,FOODS,TX_2,TX,NewYear,1.0,1.0,0.0,1069.5300000000007
2013-01-01,FOODS_2,FOODS,TX_3,TX,NewYear,1.0,1.0,0.0,727.14
2013-01-01,FOODS_2,FOODS,WI_1,WI,NewYear,1.0,1.0,0.0,671.1899999999998
2013-01-01,FOODS_2,FOODS,WI_2,WI,NewYear,1.0,1.0,0.0,792.6600000000008
2013-01-01,FOODS_2,FOODS,WI_3,WI,NewYear,1.0,1.0,0.0,600.97
2013-01-01,FOODS_3,FOODS,CA_1,CA,NewYear,1.0,1.0,0.0,2943.2600000000043
2013-01-01,FOODS_3,FOODS,CA_2,CA,NewYear,1.0,1.0,0.0,1819.5700000000027
2013-01-01,FOODS_3,FOODS,CA_3,CA,NewYear,1.0,1.0,0.0,3940.650000000008
2013-01-01,FOODS_3,FOODS,CA_4,CA,NewYear,1.0,1.0,0.0,1536.9900000000025
2013-01-01,FOODS_3,FOODS,TX_1,TX,NewYear,1.0,1.0,0.0,2203.7800000000025
2013-01-01,FOODS_3,FOODS,TX_2,TX,NewYear,1.0,1.0,0.0,3329.8100000000068
2013-01-01,FOODS_3,FOODS,TX_3,TX,NewYear,1.0,1.0,0.0,2333.540000000004
2013-01-01,FOODS_3,FOODS,WI_1,WI,NewYear,1.0,1.0,0.0,1841.4200000000033
2013-01-01,FOODS_3,FOODS,WI_2,WI,NewYear,1.0,1.0,0.0,1845.4800000000025
2013-01-01,FOODS_3,FOODS,WI_3,WI,NewYear,1.0,1.0,0.0,2009.9000000000021
2013-01-01,HOBBIES_1,HOBBIES,CA_1,CA,NewYear,1.0,1.0,0.0,617.5
2013-01-01,HOBBIES_1,HOBBIES,CA_2,CA,NewYear,1.0,1.0,0.0,428.30999999999983
2013-01-01,HOBBIES_1,HOBBIES,CA_3,CA,NewYear,1.0,1.0,0.0,813.6700000000003
2013-01-01,HOBBIES_1,HOBBIES,CA_4,CA,NewYear,1.0,1.0,0.0,316.04
2013-01-01,HOBBIES_1,HOBBIES,TX_1,TX,NewYear,1.0,1.0,0.0,354.32
2013-01-01,HOBBIES_1,HOBBIES,TX_2,TX,NewYear,1.0,1.0,0.0,743.2800000000003
2013-01-01,HOBBIES_1,HOBBIES,TX_3,TX,NewYear,1.0,1.0,0.0,650.2700000000002
2013-01-01,HOBBIES_1,HOBBIES,WI_1,WI,NewYear,1.0,1.0,0.0,421.32000000000005
2013-01-01,HOBBIES_1,HOBBIES,WI_2,WI,NewYear,1.0,1.0,0.0,195.61
2013-01-01,HOBBIES_1,HOBBIES,WI_3,WI,NewYear,1.0,1.0,0.0,315.51999999999987
2013-01-01,HOBBIES_2,HOBBIES,CA_1,CA,NewYear,1.0,1.0,0.0,0.0
2013-01-01,HOBBIES_2,HOBBIES,CA_2,CA,NewYear,1.0,1.0,0.0,0.0
2013-01-01,HOBBIES_2,HOBBIES,CA_3,CA,NewYear,1.0,1.0,0.0,0.6900000000000001
2013-01-01,HOBBIES_2,HOBBIES,CA_4,CA,NewYear,1.0,1.0,0.0,0.0
2013-01-01,HOBBIES_2,HOBBIES,TX_1,TX,NewYear,1.0,1.0,0.0,10.86
2013-01-01,HOBBIES_2,HOBBIES,TX_2,TX,NewYear,1.0,1.0,0.0,11.04
2013-01-01,HOBBIES_2,HOBBIES,TX_3,TX,NewYear,1.0,1.0,0.0,12.84
2013-01-01,HOBBIES_2,HOBBIES,WI_1,WI,NewYear,1.0,1.0,0.0,1.84
2013-01-01,HOBBIES_2,HOBBIES,WI_2,WI,NewYear,1.0,1.0,0.0,0.23
2013-01-01,HOBBIES_2,HOBBIES,WI_3,WI,NewYear,1.0,1.0,0.0,0.0
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,CA_1,CA,NewYear,1.0,1.0,0.0,1398.5400000000034
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,CA_2,CA,NewYear,1.0,1.0,0.0,1421.4200000000023
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,NewYear,1.0,1.0,0.0,2375.5699999999993
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,NewYear,1.0,1.0,0.0,567.9400000000004
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,NewYear,1.0,1.0,0.0,1451.0900000000015
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,TX_2,TX,NewYear,1.0,1.0,0.0,1783.7000000000025
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,TX_3,TX,NewYear,1.0,1.0,0.0,1349.8800000000015
2013-01-01,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,NewYear,1.0,1.0,0.0,1031.4900000000011
